total sulfur dioxide,quality
34,5
67,5
54,5
60,6
34,5
40,5
59,5
21,7
18,7
102,5
65,5
102,5
59,5
29,5
145,5
148,5
103,7
56,5
29,4
56,6
60,6
71,5
37,5
67,5
40,6
23,5
11,5
37,5
35,5
16,6
82,5
37,6
113,5
83,6
50,5
18,6
15,6
30,7
19,4
87,5
87,5
46,4
14,6
23,5
11,5
65,4
114,5
37,5
12,5
96,5
23,5
15,6
14,6
119,5
73,6
45,5
10,5
110,5
54,5
46,6
52,5
112,5
35,7
54,5
11,5
11,5
39,5
15,5
65,5
19,6
27,6
96,5
94,5
43,4
83,5
42,5
42,5
30,6
80,5
119,4
15,5
67,5
73,5
51,5
61,6
40,5
136,6
31,5
125,5
24,5
140,5
136,6
133,5
31,5
85,4
106,6
23,5
22,5
10,5
35,6
50,6
22,6
35,6
65,5
36,5
65,5
69,5
64,5
80,6
153,5
47,5
108,5
111,5
46,6
47,5
62,6
40,6
28,6
56,6
89,6
89,5
56,6
13,5
34,5
102,5
90,5
12,5
12,5
16,7
19,5
134,5
99,5
99,5
26,6
29,6
63,5
52,5
45,5
105,5
108,5
63,5
52,5
63,6
20,5
63,6
141,5
94,5
88,5
30,6
43,6
11,6
69,4
99,5
99,5
129,5
128,5
129,5
128,5
22,5
86,6
20,5
20,4
31,6
121,5
121,5
96,5
101,5
42,4
44,6
63,5
8,4
18,6
18,6
42,6
35,5
49,5
35,5
38,6
20,5
42,5
42,5
110,5
42,5
65,5
62,6
85,5
67,5
26,5
143,5
144,5
127,5
49,6
126,5
28,5
28,5
120,5
55,5
27,6
93,7
31,4
24,7
145,5
49,5
39,5
37,6
28,7
28,7
120,5
95,5
19,7
19,6
62,6
15,6
65,5
41,6
121,5
49,5
41,5
44,5
144,5
58,6
72,5
10,5
28,6
55,4
63,6
81,6
23,5
63,6
37,5
106,7
49,6
58,6
37,5
37,6
38,6
38,6
39,6
38,6
37,6
62,5
24,6
109,6
24,7
24,7
23,6
51,5
73,5
39,6
23,6
37,6
34,6
21,5
86,5
34,6
119,5
13,5
56,5
45,5
33,7
45,5
67,4
35,5
49,5
27,5
10,7
61,4
37,8
27,6
23,6
61,6
23,6
65,5
38,5
94,5
61,6
27,6
23,6
13,8
47,7
19,6
10,7
53,5
47,7
71,5
71,5
49,6
53,6
49,7
98,5
49,7
18,5
48,6
16,6
53,6
27,5
70,5
29,5
31,5
33,5
44,6
15,6
28,5
21,5
90,5
25,6
54,5
14,6
12,6
30,6
25,6
105,6
98,6
135,5
72,5
53,6
92,5
74,6
59,7
74,6
59,7
87,5
18,5
73,6
50,6
50,6
14,7
13,5
21,6
15,5
41,6
41,6
114,6
44,5
38,7
21,7
16,6
58,5
99,6
29,7
21,6
18,6
14,6
14,6
32,6
63,5
34,7
15,6
46,6
28,6
34,6
26,6
19,5
77,5
165,6
32,6
55,5
29,7
23,7
41,6
81,5
50,6
37,5
15,5
42,7
21,6
42,7
24,5
75,5
18,7
63,5
25,6
46,6
72,5
47,6
15,7
47,6
18,7
24,6
60,6
27,6
43,6
27,6
27,6
54,5
37,6
48,6
42,6
53,6
49,7
88,8
43,6
26,5
95,5
25,5
38,7
124,5
49,6
49,6
42,5
124,5
38,6
64,6
41,6
27,5
25,6
28,6
30,7
16,6
49,4
86,6
78,5
77,5
19,7
122,5
134,5
20,6
124,5
20,6
52,5
67,7
48,7
60,5
24,7
60,5
48,7
48,6
32,6
30,5
35,6
24,7
66,5
24,6
18,5
54,6
18,5
62,6
22,6
54,6
50,5
29,8
27,6
43,7
19,7
27,7
31,6
72,5
16,5
27,6
35,6
35,6
26,6
35,6
22,7
67,5
19,8
22,5
65,5
22,7
47,3
23,6
19,5
25,5
129,5
15,6
26,5
51,6
18,6
21,6
48,5
47,5
52,6
68,6
14,5
24,6
28,5
16,5
20,6
28,5
31,6
23,5
17,8
18,5
18,5
24,6
17,5
17,5
14,6
67,7
26,6
56,6
25,7
27,7
81,6
91,6
16,8
38,6
113,5
16,8
81,6
38,6
76,7
76,7
24,7
22,7
26,7
21,7
13,6
62,6
43,7
43,5
62,6
49,6
15,7
15,7
151,5
14,6
16,3
32,6
106,5
33,6
43,5
133,5
142,5
116,5
53,5
106,5
85,6
55,6
33,5
28,6
42,5
42,5
33,6
32,6
28,6
33,5
13,6
35,7
17,5
47,5
17,6
20,5
53,6
15,6
106,5
28,6
21,6
69,6
25,6
25,6
45,6
44,6
96,5
23,5
23,5
17,6
23,5
17,6
47,6
19,5
121,5
110,5
60,6
47,6
19,5
15,6
15,6
20,6
42,6
37,6
42,6
28,5
47,4
78,6
46,6
14,4
111,5
110,5
40,6
14,5
14,5
15,5
21,7
80,7
38,6
47,7
102,5
50,8
13,7
75,5
149,6
75,5
43,5
38,5
109,5
24,6
18,6
30,6
22,6
23,4
35,6
14,5
35,6
63,6
24,6
20,7
52,6
65,6
39,6
57,5
16,5
29,6
29,5
103,6
71,5
71,5
28,6
17,5
16,5
112,5
104,5
32,5
45,6
58,5
58,5
15,5
15,5
31,6
84,5
31,6
19,5
43,6
86,4
102,5
33,5
147,5
145,5
23,7
57,6
40,5
68,5
40,5
68,5
40,5
11,7
20,5
14,4
28,7
148,6
32,5
155,5
71,5
30,6
29,5
53,5
32,5
42,7
20,6
13,4
20,6
42,5
27,6
13,6
54,5
48,5
16,6
15,6
31,5
15,6
45,5
13,5
151,5
13,5
17,6
31,5
17,6
31,5
87,5
49,5
40,5
29,6
58,5
15,5
152,5
15,5
40,5
38,5
9,5
17,5
14,3
93,5
62,5
122,5
125,5
44,6
25,6
25,6
72,5
19,6
88,6
25,6
23,6
84,4
14,4
54,5
19,5
37,5
35,6
33,6
84,5
112,5
33,5
48,5
77,5
34,6
48,5
49,5
22,5
45,5
22,5
106,5
48,5
127,5
12,4
13,5
49,6
11,5
11,5
58,6
37,5
14,5
19,5
72,5
39,5
22,5
22,5
58,6
104,5
38,5
16,6
139,5
18,5
101,5
101,5
28,6
57,6
68,5
31,6
28,6
40,5
40,5
66,5
40,5
32,6
47,6
33,6
31,5
31,5
88,5
104,5
35,5
19,6
35,5
44,6
48,6
74,5
98,5
94,6
32,5
94,6
143,5
144,5
44,6
45,6
16,5
48,6
18,6
34,5
92,5
45,6
37,5
96,5
37,5
85,5
61,5
61,5
58,6
58,6
119,5
82,6
130,5
87,6
13,5
26,6
60,5
64,5
42,7
14,6
14,6
108,5
17,5
86,7
46,6
18,6
10,7
10,7
10,7
12,5
15,6
14,5
24,6
38,5
7,4
41,6
38,5
30,6
27,6
47,5
59,5
22,5
42,7
36,5
36,5
16,5
37,5
8,7
37,5
45,8
24,6
9,4
24,6
48,3
51,4
23,5
55,5
100,7
100,7
28,7
26,5
34,7
31,5
68,6
92,5
42,6
31,5
31,5
39,6
31,5
32,5
22,5
22,5
122,5
55,6
55,6
14,7
55,6
47,7
32,7
24,6
85,5
88,6
25,5
84,5
85,5
86,5
24,6
22,6
24,6
43,6
43,6
46,5
48,4
10,7
10,7
16,7
14,4
43,6
69,6
88,5
21,5
35,6
26,6
88,5
69,6
30,5
28,6
56,7
64,6
99,5
52,5
86,5
18,6
86,5
88,6
43,6
43,7
43,6
43,7
11,3
39,5
33,7
33,7
18,7
18,7
115,5
78,5
9,6
61,6
11,6
11,6
9,6
8,6
10,7
11,6
6,6
62,5
45,6
79,6
46,6
23,5
79,6
46,6
45,6
28,5
77,7
73,6
75,4
28,5
19,7
25,5
38,5
66,6
38,5
25,5
72,6
72,6
26,4
42,7
11,5
25,7
17,7
52,7
45,7
24,7
20,7
24,7
12,7
21,7
21,7
21,7
12,7
10,7
9,7
11,6
23,5
10,6
51,6
36,7
32,5
38,6
18,5
16,5
27,6
38,6
48,6
10,7
113,5
46,6
22,5
10,6
10,6
13,7
12,5
13,7
72,5
72,5
119,5
29,7
6,5
17,6
28,5
70,6
17,6
6,5
11,6
7,7
70,5
27,5
21,6
27,5
68,5
47,6
68,5
88,5
41,6
11,7
11,7
10,6
12,6
12,7
47,7
27,7
8,7
45,5
8,7
27,7
25,7
24,7
55,5
12,7
19,6
32,5
31,6
7,6
27,6
28,7
109,6
109,6
23,5
8,6
8,6
9,5
9,6
18,7
43,6
36,6
52,5
68,6
18,7
14,7
15,7
14,5
27,6
48,6
17,7
35,7
56,5
42,7
39,6
32,5
26,6
39,6
39,7
53,6
38,6
45,6
51,5
14,6
17,6
51,5
45,5
25,5
20,7
77,6
77,6
10,7
90,5
52,7
10,7
8,6
16,8
15,6
17,6
10,6
20,6
26,7
10,7
10,7
52,5
37,7
92,5
75,6
37,6
92,5
67,7
8,6
8,5
8,5
278,7
8,6
289,7
70,6
59,6
70,6
64,5
9,7
30,6
41,7
41,7
74,8
19,6
16,6
31,7
17,6
20,5
17,6
18,5
16,7
18,5
36,6
25,6
30,6
25,6
25,6
49,5
17,6
24,7
13,5
66,6
14,6
55,7
35,6
10,6
80,6
21,6
21,6
21,6
24,6
15,5
17,8
28,6
33,6
29,6
13,4
27,7
11,6
52,6
89,5
70,6
10,6
135,5
38,7
18,7
15,7
50,6
13,6
13,6
94,5
86,6
79,6
71,6
12,6
20,6
70,5
51,6
21,6
14,7
21,6
11,6
12,7
70,6
38,5
38,6
63,6
38,5
88,7
101,7
54,6
37,5
20,7
21,6
19,7
21,5
21,5
38,5
60,5
48,7
44,6
14,6
12,6
44,6
16,6
65,6
65,6
59,6
47,4
11,7
78,5
47,6
47,6
11,5
54,6
61,5
119,5
39,6
12,5
39,6
119,5
19,4
20,6
12,5
41,7
12,5
64,6
56,6
94,6
9,6
77,6
94,6
9,6
10,7
12,8
76,5
44,7
44,7
44,7
52,5
44,7
24,7
15,6
53,5
15,6
13,6
9,6
29,6
79,6
74,6
24,6
50,6
44,6
44,6
89,6
23,6
20,6
77,5
46,5
21,5
88,7
66,5
58,6
90,5
66,5
36,4
18,6
113,4
17,6
18,6
24,4
20,4
60,5
65,5
40,6
86,5
160,6
34,5
48,5
34,5
36,6
37,6
37,6
60,5
14,5
13,5
35,5
46,5
60,5
69,6
33,6
33,6
56,5
24,4
66,5
26,4
51,6
36,6
36,6
19,6
51,6
87,8
60,6
64,6
44,5
44,5
36,6
81,6
10,4
10,6
81,6
9,7
54,6
54,6
22,6
69,6
36,5
47,5
31,6
7,5
110,5
110,5
12,5
60,6
28,6
12,4
60,6
77.5,5
77.5,5
29,6
18,6
9,3
28,6
57,6
15,6
68,5
68,5
88,5
91,5
29,4
91,5
63,5
88,5
27,6
41,5
65,6
69,6
91,6
46,6
41,6
91,6
64,6
88,5
46,6
18,5
55,7
34,6
34,6
34,6
34,6
38,5
91,6
91,6
67,5
25,6
48,5
11,5
40,6
26,5
26,5
26,5
31,6
31,6
31,6
31,6
31,6
20,5
28,6
13,5
12,5
12,5
41,5
73,5
46,6
57,5
57,5
28,5
32,5
28,5
67,6
98,5
28,6
38,5
54,5
28,6
63,4
31,6
42,5
45,5
105,6
74,6
8,4
66,5
14,6
66,5
89,5
29,3
100,5
31,5
74,6
28,6
35,6
35,6
25,5
105,5
105,5
84,5
85,5
23,5
23,5
49,5
111,5
33,6
33,5
12,5
59,5
73,5
12,6
11,5
104,5
28,7
24,6
141,5
141,5
24,6
13,8
46,6
34,7
22,6
54,6
53,7
54,6
16,6
19,6
22,6
89,5
15,5
18,5
15,5
37,7
19,5
133,5
19,5
58,5
55,6
31,4
23,6
23,6
60,6
23,5
55,5
67,5
47,5
74,6
11,6
25,7
95,6
95,6
90,5
39,5
8,5
92,6
28,7
98,6
30,5
22,5
92,6
98,6
30,5
39,5
54,5
29,8
28,7
17,7
53,7
85,5
23,6
17,6
89,6
85,5
20,5
15,7
64,6
13,4
31,6
39,6
53,5
53,5
54,7
32,4
54,7
49,3
24,5
16,5
44,6
45,5
82,5
89,7
82,5
89,7
14,3
22,5
13,4
22,5
9,4
12,5
11,4
25,5
23,5
17,5
13,5
11,6
18,6
13,5
18,5
147,5
28,7
28,6
147,5
16,6
13,6
16,6
15,5
64,5
60,5
14,6
12,6
12,3
14,6
12,6
25,6
20,5
48,6
27,5
17,6
65,6
65,6
65,6
58,5
44,6
20,5
27,5
44,6
23,4
58,5
61,5
47,6
34,5
38,6
24,6
59,6
52,6
18,6
28,5
22,6
84,5
29,7
35,6
45,6
31,6
26,5
60,5
32,6
49,7
38,6
19,6
19,7
28,6
26,5
26,5
50,5
