volatile acidity,quality
0.7,5
0.88,5
0.76,5
0.28,6
0.7,5
0.66,5
0.6,5
0.65,7
0.58,7
0.5,5
0.58,5
0.5,5
0.615,5
0.61,5
0.62,5
0.62,5
0.28,7
0.56,5
0.59,4
0.32,6
0.22,6
0.39,5
0.43,5
0.49,5
0.4,6
0.39,5
0.41,5
0.43,5
0.71,5
0.645,6
0.675,5
0.685,6
0.655,5
0.605,6
0.32,5
0.645,6
0.6,6
0.38,7
1.13,4
0.45,5
0.45,5
0.61,4
0.49,6
0.66,5
0.67,5
0.52,4
0.935,5
0.29,5
0.4,5
0.31,5
0.66,5
0.52,6
0.5,6
0.38,5
0.51,6
0.62,5
0.42,5
0.63,5
0.59,5
0.39,6
0.4,5
0.69,5
0.52,7
0.735,5
0.725,5
0.725,5
0.52,5
0.705,5
0.32,5
0.705,6
0.63,6
0.67,5
0.69,5
0.675,4
0.32,5
0.41,5
0.41,5
0.785,6
0.75,5
0.625,4
0.45,5
0.43,5
0.5,5
0.67,5
0.3,6
0.55,5
0.49,6
0.49,5
0.39,5
0.62,5
0.52,5
0.49,6
0.49,5
0.49,5
1.02,4
0.6,6
0.775,5
0.5,5
0.9,5
0.545,6
0.61,6
0.5,6
0.545,6
0.575,5
0.49,5
0.575,5
0.41,5
0.63,5
0.33,6
0.785,5
0.56,5
0.62,5
0.6,5
0.31,6
0.56,5
0.4,6
0.54,6
0.56,6
0.55,6
0.69,6
1.07,5
0.55,6
0.695,5
0.71,5
0.5,5
0.62,5
1.33,5
1.33,5
0.59,7
0.38,5
0.745,5
0.5,5
0.5,5
0.5,6
1.04,6
0.745,5
0.715,5
0.415,5
0.56,5
0.56,5
0.745,5
0.715,5
0.34,6
0.39,5
0.34,6
0.67,5
0.68,5
0.49,5
0.49,6
0.4,6
0.33,6
0.52,4
0.6,5
0.6,5
0.43,5
0.43,5
0.43,5
0.43,5
0.68,5
0.6,6
0.95,5
0.68,4
0.53,6
0.6,5
0.59,5
0.63,5
0.64,5
0.55,4
0.63,6
0.705,5
0.885,4
0.42,6
0.42,6
0.62,6
0.38,5
0.5,5
0.38,5
0.52,6
0.805,5
0.61,5
0.61,5
0.61,5
0.73,5
0.61,5
0.62,6
0.31,5
0.39,5
0.705,5
0.5,5
0.49,5
0.5,5
0.37,6
0.63,5
0.55,5
0.55,5
0.59,5
0.58,5
0.3,6
0.835,7
1.09,4
0.32,7
0.37,5
0.5,5
0.42,5
0.43,6
0.3,7
0.3,7
0.57,5
0.44,5
0.3,7
0.53,6
0.725,6
0.44,6
0.57,5
0.735,6
0.49,5
0.625,5
0.725,5
0.49,5
0.53,5
0.34,6
0.53,5
0.61,5
0.645,6
0.635,4
0.43,6
0.59,6
0.82,5
0.43,6
0.52,5
0.48,7
0.38,6
0.37,6
0.52,5
1,6
0.63,6
0.63,6
0.645,6
0.63,6
1,6
0.635,5
0.38,6
0.58,6
0.21,7
0.21,7
0.66,6
0.68,5
0.6,5
0.53,6
0.66,6
0.32,6
0.6,6
0.35,5
0.775,5
0.6,6
0.57,5
0.34,5
0.695,5
0.41,5
0.31,7
0.33,5
0.975,4
0.52,5
0.37,5
0.56,5
0.26,7
0.87,4
0.35,8
0.54,6
0.18,6
0.545,6
0.18,6
0.37,5
0.715,5
0.65,5
0.545,6
0.54,6
0.18,6
0.32,8
0.4,7
0.26,6
0.27,7
0.52,5
0.4,7
0.59,5
0.59,5
0.45,6
0.4,6
0.52,7
0.42,5
0.52,7
0.2,5
0.55,6
0.36,6
0.34,6
0.5,5
0.83,5
0.63,5
0.65,5
0.67,5
0.53,6
0.18,6
0.705,5
0.67,5
0.65,5
0.53,6
0.62,5
0.41,6
0.43,6
0.29,6
0.53,6
0.53,6
0.46,6
0.47,5
0.36,5
0.35,6
0.56,5
0.77,6
0.66,7
0.77,6
0.66,7
0.61,5
0.62,5
0.59,6
0.49,6
0.49,6
0.53,7
0.44,5
0.27,6
0.46,5
0.36,6
0.36,6
0.58,6
0.56,5
0.65,7
0.695,7
0.43,6
0.43,5
0.49,6
0.28,7
0.34,6
0.42,6
0.39,6
0.39,6
0.57,6
0.685,5
0.815,7
0.49,6
0.56,6
0.785,6
0.67,6
0.795,6
0.665,5
0.53,5
0.21,6
0.75,6
0.41,5
0.42,7
0.43,7
0.38,6
0.7,5
0.45,6
0.58,5
0.46,5
0.615,7
0.42,6
0.615,7
0.575,5
0.34,5
0.27,7
0.765,5
0.24,6
0.28,6
0.55,5
0.41,6
0.54,7
0.45,6
0.27,7
0.625,6
0.42,6
0.26,6
0.415,6
0.26,6
0.26,6
0.51,5
0.63,6
0.54,6
0.66,6
0.46,6
0.38,7
0.85,8
0.415,6
0.37,5
0.665,5
0.6,5
0.37,7
0.735,5
0.59,6
0.59,6
0.765,5
0.735,5
0.26,6
0.48,6
0.6,6
0.69,5
0.31,6
0.44,6
0.39,7
0.34,6
0.46,4
0.43,6
0.45,5
0.735,5
0.4,7
0.52,5
0.725,5
0.48,6
0.58,5
0.38,6
0.77,5
0.56,7
0.84,7
0.96,5
0.24,7
0.96,5
0.84,7
0.67,6
0.78,6
0.52,5
0.84,6
0.24,7
0.55,5
0.37,6
0.39,5
0.41,6
0.39,5
0.67,6
0.45,6
0.41,6
0.62,5
0.31,8
0.4,6
0.685,7
0.44,7
0.57,7
0.735,6
0.38,5
0.48,5
0.53,6
0.39,6
0.39,6
0.37,6
0.56,6
0.33,7
0.23,5
0.62,8
0.59,5
0.63,5
0.33,7
0.58,3
0.43,6
0.615,5
0.26,5
0.66,5
0.315,6
0.29,5
0.5,6
0.46,6
0.36,6
0.82,5
0.32,5
0.54,6
0.37,6
0.35,5
0.28,6
0.68,5
0.27,5
0.24,6
0.68,5
0.685,6
0.28,5
0.3,8
0.36,5
0.36,5
0.44,6
0.67,5
0.67,5
0.645,6
0.32,7
0.39,6
0.775,6
0.41,7
0.4,7
0.69,6
0.39,6
0.35,8
0.52,6
0.34,5
0.35,8
0.69,6
0.52,6
0.44,7
0.44,7
0.26,7
0.24,7
0.49,7
0.24,7
0.67,6
0.59,6
0.29,7
0.42,5
0.59,6
0.4,6
0.51,7
0.51,7
0.655,5
0.6,6
0.61,3
0.21,6
0.365,5
0.25,6
0.41,5
0.39,5
0.4,5
0.43,5
0.64,5
0.365,5
0.38,6
0.42,6
0.63,5
0.22,6
0.38,5
0.38,5
0.27,6
0.48,6
0.22,6
0.63,5
0.825,6
0.35,7
0.5,5
0.59,5
0.46,6
0.715,5
0.66,6
0.31,6
0.47,5
0.55,6
0.31,6
0.35,6
0.53,6
0.51,6
0.43,6
0.46,6
1.04,5
0.645,5
0.645,5
0.53,6
0.645,5
0.53,6
0.47,6
0.6,5
0.44,5
0.54,5
0.29,6
0.47,6
0.6,5
0.7,6
0.7,6
0.5,6
0.36,6
0.35,6
0.36,6
0.24,5
0.59,4
0.34,6
0.27,6
0.5,4
0.44,5
0.47,5
0.31,6
0.5,5
0.5,5
0.49,5
0.28,7
0.33,7
0.51,6
0.31,7
0.73,5
0.42,8
0.29,7
0.45,5
0.39,6
0.45,5
0.49,5
0.72,5
0.595,5
0.4,6
0.58,6
0.585,6
0.59,6
0.915,4
0.46,6
0.835,5
0.46,6
0.58,6
0.6,6
0.41,7
0.48,6
0.65,6
0.36,6
0.24,5
0.38,5
0.64,6
0.39,5
0.755,6
0.6,5
0.6,5
0.31,6
0.46,5
0.37,5
0.54,5
0.56,5
0.58,5
0.51,6
0.69,5
0.69,5
0.6,5
0.6,5
0.54,6
0.685,5
0.54,6
0.28,5
0.41,6
0.935,4
0.35,5
0.84,5
0.88,5
0.885,5
0.915,7
0.29,6
0.54,5
0.59,5
0.54,5
0.59,5
0.54,5
0.64,7
0.67,5
0.845,4
0.48,7
0.42,6
0.43,5
0.88,5
0.36,5
0.33,6
0.47,5
0.55,5
0.43,5
0.5,7
0.52,6
0.84,4
0.52,6
0.42,5
0.57,6
0.28,6
0.4,5
0.59,5
0.49,6
0.34,6
0.73,5
0.34,6
0.4,5
0.73,5
1.24,5
0.73,5
0.4,6
0.41,5
0.4,6
0.8,5
0.78,5
0.26,5
0.43,5
0.45,6
0.46,5
0.78,5
0.98,5
0.78,5
0.65,5
0.64,5
0.66,5
0.38,5
1.185,3
0.92,5
0.49,5
0.48,5
0.47,5
0.47,6
0.65,6
0.65,6
0.615,5
0.38,6
1.02,6
0.65,6
0.64,6
0.38,4
0.765,4
1.035,5
0.78,5
0.49,5
0.545,6
0.31,6
1.025,5
0.565,5
0.69,5
0.43,5
0.74,5
0.49,6
0.43,5
0.46,5
0.56,5
0.66,5
0.56,5
0.48,5
0.42,5
0.31,5
1.115,4
0.66,5
0.72,6
0.57,5
0.57,5
0.865,6
0.55,5
0.875,5
0.835,5
0.45,5
0.56,5
0.965,5
0.965,5
0.59,6
0.46,5
0.69,5
0.76,6
0.53,5
0.615,5
0.41,5
0.39,5
0.51,6
0.34,6
0.33,5
0.5,6
0.51,6
0.65,5
0.65,5
0.54,5
0.65,5
0.48,6
0.91,6
0.98,6
0.87,5
0.87,5
0.42,5
0.58,5
0.655,5
0.7,6
0.655,5
0.68,6
0.67,6
0.59,5
0.6,5
0.59,6
0.72,5
0.59,6
0.685,5
0.57,5
0.4,6
0.4,6
1,5
0.765,6
0.635,6
0.43,5
0.52,5
0.57,6
0.46,5
0.82,5
0.46,5
0.59,5
0.35,5
0.35,5
0.56,6
0.56,6
0.63,5
0.37,6
0.64,5
0.61,6
0.6,5
0.27,6
0.89,5
0.46,5
0.37,7
0.5,6
0.5,6
0.61,5
0.55,5
0.585,7
0.56,6
0.52,6
0.28,7
0.25,7
0.28,7
0.53,5
0.48,6
0.49,5
0.5,6
0.45,5
0.39,4
0.41,6
0.45,5
0.51,6
0.29,6
0.715,5
0.66,5
0.685,5
0.42,7
0.54,5
0.54,5
0.48,5
0.46,5
0.27,7
0.46,5
0.57,8
0.61,6
0.685,4
0.61,6
0.44,3
0.47,4
0.685,5
0.665,5
0.28,7
0.28,7
0.31,7
0.5,5
0.42,7
0.66,5
0.5,6
0.685,5
0.25,6
0.64,5
0.64,5
0.68,6
0.64,5
0.63,5
0.43,5
0.43,5
0.42,5
0.36,6
0.36,6
0.735,7
0.36,6
0.26,7
0.28,7
0.56,6
0.62,5
1.01,6
0.42,5
0.62,5
0.62,5
0.635,5
0.49,6
0.51,6
0.56,6
0.63,6
0.715,6
0.56,5
0.35,4
0.21,7
0.38,7
0.31,7
0.47,4
0.715,6
0.61,6
0.6,5
0.56,5
0.715,6
0.31,6
0.6,5
0.61,6
0.75,5
0.8,6
0.52,7
0.57,6
0.9,5
0.34,5
0.66,5
0.45,6
0.66,5
0.63,6
0.59,6
0.31,7
0.59,6
0.31,7
1.02,3
0.31,5
0.635,7
0.635,7
0.59,7
0.59,7
0.58,5
0.54,5
0.56,6
0.52,6
0.305,6
0.38,6
0.28,6
0.46,6
0.395,7
0.305,6
0.315,6
0.715,5
0.41,6
0.36,6
0.62,6
0.41,5
0.36,6
0.62,6
0.41,6
0.47,5
0.22,7
0.24,6
0.67,4
0.47,5
0.33,7
0.61,5
0.61,5
0.4,6
0.61,5
0.61,5
0.3,6
0.3,6
0.63,4
0.38,7
0.46,5
0.33,7
0.27,7
0.43,7
0.5,7
0.3,7
0.44,7
0.44,7
0.28,7
0.12,7
0.12,7
0.12,7
0.28,7
0.31,7
0.34,7
0.43,6
0.21,5
0.36,6
0.37,6
0.57,7
0.59,5
0.47,6
0.56,5
0.57,5
0.27,6
0.47,6
0.34,6
0.38,7
0.66,5
0.4,6
0.56,5
0.26,6
0.26,6
0.38,7
0.34,5
0.33,7
0.41,5
0.41,5
0.59,5
0.4,7
0.45,5
0.5,6
0.86,5
0.52,6
0.5,6
0.45,5
0.58,6
0.34,7
0.36,5
0.39,5
0.295,6
0.39,5
0.34,5
0.4,6
0.34,5
0.35,5
0.6,6
0.66,7
0.66,7
0.84,6
0.69,6
0.43,7
0.35,7
0.29,7
0.36,7
0.43,5
0.36,7
0.29,7
0.3,7
0.35,7
0.5,5
0.28,7
0.32,6
1.005,5
0.71,6
0.58,6
0.39,6
0.38,7
0.18,6
0.18,6
0.5,5
0.36,6
0.36,6
0.51,5
0.32,6
0.58,7
0.83,6
0.31,6
0.795,5
0.34,6
0.58,7
0.59,7
0.55,7
0.82,5
0.57,6
0.745,6
0.37,7
0.31,7
0.91,5
0.41,7
0.5,6
0.965,5
0.49,6
0.5,6
0.39,7
0.39,6
0.44,6
0.78,6
0.43,5
0.49,6
0.5,6
0.43,5
0.46,5
0.605,5
0.33,7
0.64,6
0.64,6
0.48,7
0.42,5
0.53,7
0.48,7
0.23,6
0.4,8
0.38,6
0.29,6
0.74,6
0.61,6
0.52,7
0.31,7
0.31,7
0.62,5
0.33,7
0.77,5
0.35,6
0.62,6
0.77,5
0.25,7
0.32,6
0.37,5
0.37,5
0.3,7
0.27,6
0.3,7
0.38,6
0.42,6
0.38,6
0.48,5
0.34,7
0.19,6
0.41,7
0.41,7
0.26,8
0.34,6
0.54,6
0.31,7
0.725,6
0.4,5
0.725,6
0.52,5
0.31,7
0.52,5
0.34,6
0.49,6
0.48,6
0.49,6
0.48,6
0.57,5
0.23,6
0.3,7
0.78,5
0.47,6
0.53,6
0.42,7
0.33,6
0.24,6
0.4,6
0.69,6
0.69,6
0.69,6
0.39,6
0.66,5
0.54,8
0.5,6
0.47,6
0.4,6
0.58,4
0.24,7
0.29,6
0.76,6
0.43,5
0.43,6
0.6,6
0.19,5
0.36,7
0.48,7
0.28,7
0.25,6
0.52,6
0.52,6
0.41,5
0.51,6
0.4,6
0.38,6
0.45,6
0.22,6
0.32,5
0.2,6
0.5,6
0.41,7
0.39,6
0.35,6
0.33,7
0.58,6
0.6,5
0.42,6
0.58,6
0.6,5
0.18,7
0.51,7
0.41,6
0.41,5
0.36,7
0.45,6
0.32,7
0.785,5
0.785,5
0.44,5
0.54,5
0.33,7
0.34,6
0.5,6
0.36,6
0.59,6
0.42,6
0.36,6
0.36,6
0.61,6
0.88,4
0.66,7
0.915,5
0.35,6
0.35,6
0.39,5
0.4,6
0.66,5
0.64,5
0.43,6
0.8,5
0.43,6
0.64,5
0.955,4
0.4,6
0.885,5
0.25,7
0.885,5
0.745,6
0.43,6
0.58,6
0.57,6
0.26,6
0.58,6
0.57,6
0.34,7
0.42,8
0.74,5
0.36,7
0.36,7
0.36,7
0.72,5
0.36,7
0.39,7
0.65,6
0.44,5
0.65,6
0.38,6
0.33,6
0.27,6
0.57,6
0.34,6
0.4,6
0.39,6
0.32,6
0.32,6
0.53,6
0.36,6
0.39,6
0.46,5
0.58,5
0.58,5
0.42,7
0.43,5
0.18,6
0.815,5
0.43,5
0.23,4
0.75,6
0.33,4
0.55,6
0.75,6
0.73,4
0.67,4
0.61,5
0.37,5
0.4,6
0.56,5
0.29,6
0.55,5
0.74,5
0.55,5
0.41,6
0.6,6
0.6,6
0.58,5
0.72,5
0.66,5
0.7,5
0.64,5
0.59,5
0.58,6
0.64,6
0.64,6
0.635,5
1.02,4
0.45,5
0.78,4
0.37,6
0.57,6
0.57,6
0.43,6
0.41,6
0.49,8
0.38,6
0.44,6
0.46,5
0.58,5
0.58,6
0.715,6
0.4,4
0.69,6
0.715,6
0.3,7
0.46,6
0.46,6
0.765,6
0.63,6
0.42,5
0.37,5
0.16,6
0.6,5
0.6,5
0.6,5
0.74,5
0.635,6
0.395,6
0.755,4
0.635,6
0.63,5
0.63,5
0.53,6
0.6,6
1.58,3
0.645,6
0.86,6
0.37,6
0.28,5
0.79,5
0.61,5
0.69,5
0.68,4
0.69,5
0.62,5
0.61,5
0.51,6
1.18,5
0.36,6
0.36,6
0.63,6
0.74,6
0.44,6
0.63,6
0.76,6
0.66,5
0.74,6
0.34,5
0.36,7
0.46,6
0.46,6
0.46,6
0.46,6
0.52,5
0.6,6
0.6,6
0.87,5
0.39,6
0.775,5
0.835,5
0.58,6
0.5,5
0.5,5
0.5,5
0.51,6
0.51,6
0.51,6
0.54,6
0.51,6
0.42,5
0.44,6
0.59,5
0.655,5
0.655,5
0.57,5
0.6,5
0.62,6
0.645,5
0.645,5
0.58,5
0.32,5
0.34,5
0.43,6
0.64,5
0.475,6
0.54,5
0.85,5
0.475,6
0.83,4
0.605,6
0.5,5
0.74,5
0.54,6
0.77,6
0.61,4
0.78,5
0.58,6
0.78,5
0.75,5
0.815,3
0.56,5
0.885,5
0.49,6
0.45,6
0.57,6
0.57,6
0.83,5
0.6,5
0.6,5
0.755,5
0.81,5
0.64,5
0.64,5
0.64,5
0.48,5
0.49,6
0.64,5
0.62,5
0.52,5
0.57,5
0.685,6
0.675,5
0.59,5
0.6,7
0.67,6
0.69,5
0.69,5
0.3,6
0.33,8
0.5,6
0.28,7
0.24,6
0.51,6
0.29,7
0.51,6
0.96,6
0.47,6
0.24,6
0.57,5
0.32,5
0.58,5
0.32,5
0.34,7
0.53,5
0.64,5
0.53,5
0.4,5
0.54,6
0.53,4
0.26,6
0.26,6
0.23,6
0.41,5
0.64,5
0.18,5
0.41,5
0.43,6
0.44,6
0.4,7
0.54,6
0.54,6
0.38,5
0.915,5
0.59,5
0.67,6
0.37,7
0.785,6
0.63,5
0.58,5
0.67,6
0.785,6
0.63,5
0.67,5
0.58,5
0.38,8
0.37,7
0.32,7
0.58,7
0.49,5
0.45,6
0.9,6
0.54,6
0.49,5
0.29,5
0.2,7
0.42,6
0.785,4
0.64,6
0.63,6
0.59,5
0.59,5
0.48,7
1.04,4
0.48,7
0.98,3
0.69,5
0.7,5
0.35,6
0.6,5
0.5,5
0.47,7
0.5,5
0.47,7
0.875,3
0.28,5
0.62,4
0.28,5
0.58,4
0.33,5
0.91,4
0.655,5
0.68,5
0.64,5
0.54,5
0.57,6
0.22,6
0.54,5
0.65,5
0.54,5
0.31,7
0.43,6
0.54,5
0.74,6
0.895,6
0.74,6
0.725,5
0.82,5
0.585,5
0.44,6
0.38,6
0.76,3
0.81,6
0.38,6
0.27,6
0.18,5
0.36,6
0.69,5
0.79,6
0.56,6
0.84,6
0.84,6
0.32,5
0.53,6
0.47,5
0.7,5
0.53,6
0.48,4
0.32,5
0.48,5
0.42,6
0.48,5
0.47,6
0.53,6
0.29,6
0.69,6
0.44,6
0.705,5
0.53,6
0.39,5
0.56,7
0.55,6
0.53,6
0.58,6
0.64,5
0.39,5
0.52,6
0.25,7
0.855,6
0.44,6
0.37,7
0.63,6
0.57,5
0.6,5
0.4,5